name;open;high;low;close;volume;marketCap;timestamp
"2781";63335.603583719;73577.2096582116;58895.2078078197;70215.1856325839;1049276385591.06;1388607599014.43;"2024-09-30 21:00:00"
"2781";70216.8969678825;99655.5010786335;66803.649995796;96449.0558127732;2214093389107.44;1908652965665.17;"2024-10-31 21:00:00"
"2781";96461.3368002386;108268.4470804361;91317.1354600511;93429.2028113992;2367571853073.27;1850183342119.26;"2024-11-30 21:00:00"
"2781";93425.1021360494;109114.8848340883;89260.1001886086;102405.0270844454;1917584997242.14;2029428972448.1;"2024-12-31 21:00:00"
"2781";102402.7981153973;102755.7260175272;78248.9161015268;84373.0103295802;1389494855080.7;1673219380516.41;"2025-01-31 21:00:00"
"2781";84373.8643718367;95043.435203001;76624.2524898268;82548.9109608694;1133328839500.75;1638221363683.2;"2025-02-28 21:00:00"
"2781";82551.9187292547;95768.3924669559;74436.6791009452;94207.311297523;1060974068310.71;1870909932833.95;"2025-03-31 21:00:00"
"2781";94212.8628771738;111970.1681100799;93399.8589076862;104638.0912550028;1496397538235.65;2079433767578.83;"2025-04-30 21:00:00"
"2781";104637.296686896;110561.4198181253;98286.2059304254;107135.3345105601;1424277758115.75;2130649407200.56;"2025-05-31 21:00:00"
"2781";107144.3826437445;123091.612801368;105157.39559599;115758.2039287926;2061338304538.11;2303212731755.83;"2025-06-30 21:00:00"
"2781";115738.9552122482;124457.1168703663;107444.443172336;108236.7098959993;2048378158797.72;2155311534755.2;"2025-07-31 21:00:00"
"2781";108255.4624876845;117911.7883364225;107280.1239120716;112391.3772395509;0;0;"2025-08-31 21:00:00"
